a lot	a lot: adv. muito
dry	<i> n </i><b>1</b> <i>Amer</i> proibicionista, partidário da Lei Seca, do regime seco.<b> 2</b> secura, seca, estado ou qualidade do que é seco. • <i>vt+vi</i><b> 1</b> secar(-se), enxugar(-se), dessecar, esgotar, desaguar, ficar seco, deixar em seco.<b> 2</b> murchar, tornar murcho.<b> 3</b> secar-se, definhar-se. • <i>adj</i> (<i>compar</i> <b>drier</b>, <i>sup</i> <b>driest</b>)<b> 1</b> seco, enxuto, sem chuva, árido, estéril, sem vegetação, mirrado, magro.<b> 2</b> sedento, sequioso.<b> 3</b> murcho, ressequido.<b> 4</b> seco, insensível, de poucas palavras, severo, áspero, duro, rude, sarcástico, satírico, mordaz, reservado, calado, enfadonho.<b> 5</b> sem lágrimas.<b> 6</b> nu, puro (fatos).<b> 7</b> sem leite, que não produz leite (vaca).<b> 8</b> sem manteiga, seco (pão, vinho). <b>9</b> sem vida, insípido.<b> 10</b> sujeito à Lei Seca, marcado pela ausência de bebidas alcoólicas. <b>11 </b>desidratado.<b> 12 </b>improdutivo. <b>13</b> que causa sede. <b>cut and dry </b>já feito, decidido com antecedência, combinado de antemão. <b>dry as a bone</b>/<b>bone-dry </b>totalmente seco. <b>high and dry </b>fracassado, desamparado, abandonado. <b>to die a dry death </b>morrer sem ser por afogamento ou por derramamento de sangue. <b>to dry out</b> <i>coll</i> receber ou dar curso de tratamento do alcoolismo. <b>to dry up 1 </b>secar, dessecar. <b>2</b> deixar de fluir. <b>3</b> <i>coll</i> esquecer o diálogo (ator). <b>4 </b><i>sl </i>calar a boca.
dub	<i> vt</i><b> 1</b> criar ou armar cavaleiro, titular, dar título a, conferir uma dignidade a.<b> 2</b> alcunhar, apelidar, cognominar.<b> 3</b> engraxar (couro).<b> 4</b> alisar. <i>vt Cin</i> <b>1 </b>dublar (trilha sonora). <b>2 </b>acrescentar efeitos sonoros ou diálogos (a filme, programa de rádio, TV, etc.). <b>3 </b>mixar sons gravados.<i> n </i>charco, poça.  <i> n sl</i> pessoa desajeitada, desastrada, inepta.
duckweed	<i> n </i>lentilha-d’água.
ducky	<i> adj </i><b>1 </b>bom, satisfatório. <b>2 </b>gracioso, agradável.
due to	<i>prep</i> devido a, por causa de.
duel	<i> n </i>duelo. • <i>vt+vi</i> duelar, bater-se em duelo. <b>to fight a</b> <b>due </b>duelar, bater-se em duelo.
duff	<i> n </i><b>1 </b><i>Brit </i>espécie de pudim com frutas secas.<b> 2 </b>humo, matéria orgânica parcialmente decomposta no solo da floresta. <b>3 </b>pó de carvão. <b>4 </b><i>sl </i>bunda, traseiro, rabo. <i>vt sl</i> <b>1</b> roubar gado. <b>2</b> alterar as marcas de gado roubado. <i>adj coll</i> quebrado, estragado, que não funciona.
duke	<i> n </i><b>1</b> duque.<b> 2</b> <i>pl sl </i>punhos, mãos. • <i>vi</i> lutar com os punhos<i>.</i>
dumbstruck	<i> adj</i> emudecido.
dump	<i> n </i><b>1</b> monte de lixo, depósito de lixo ou de entulho.<b> 2</b><i> Mil </i>paiol, depósito de pólvora ou de outros apetrechos de guerra.<b> 3</b> casa ou lugar sujo, espelunca. <b>4 </b><i>Comp </i>ato de descarregar o conteúdo parcial ou total de um determinado trecho da memória ou de um arquivo do computador para verificar o seu conteúdo. <i>vt+vi</i><b> 1</b> esvaziar, descarregar em massa, lançar por terra, descarregar lixo, etc., emborcar.<b> 2</b> queimar, liquidar, vender ou exportar a preço abaixo do mercado.<b> 3</b> livrar-se de sobras ou de pessoas indesejáveis.<b> 4</b> sentar-se de repente e pesadamente.<b> 5</b><i> Mil </i>acomodar. <b>6 </b><i>Comp </i>copiar dados de uma área de armazenamento para outra. <b>city</b> <b>dump</b> depósito ou entulho municipal.
dumper	<i> n </i><b>1</b> o que vira ou faz tombar (como caminhão basculante).<b> 2</b> concorrente desleal.
dunderhead	<i> n </i>bobo, tolo, imbecil, néscio, parvo.
durable	<i> adj</i> durável, duradouro, permanente, sólido, estável, firme.
duration	<i> n </i>duração, continuação, o tempo que uma coisa dura.<b> for the duration</b> enquanto perdurar.
during	<i> prep</i> durante, no tempo de, no espaço de, enquanto dura, no decurso de.
dusk	<i> n </i><b>1</b> crepúsculo, lusco-fusco, anoitecer.<b> 2</b> sombra, obscuridade, escuridão. • <i>vt+vi</i> obscurecer, escurecer. •<i> adj</i> obscuro, sombrio, fusco, trigueiro. <b>after</b> <b>dusk </b>após o escurecer. <b>in the dusk of the evening</b> à boca da noite, ao lusco-fusco.
dust	<i> n </i><b>1</b> pó, poeira.<b> 2</b> poeira leve em suspensão no ar, nuvem de pó.<b> 3</b> limalha.<b> 4</b> cisco.<b> 5</b> pólen.<b> 6</b> cinzas, restos mortais<i>.<b> </b></i><b>7</b> a terra, o solo (principalmente o lugar onde se fazem enterros). <b>8 </b>estado ou condição humilhante, desonra. <b>9</b> coisa de nenhum valor. <b>10</b> confusão, algazarra, bate-boca. • <i>vi</i><b> 1</b> varrer o pó, espanar, sacudir o pó.<b> 2</b> empoar, empolvilhar, polvilhar.<b> 3</b> pulverizar.<b> 4</b> tomar banho de poeira (aves). <b>to bite the dust</b><i> fig</i> <b>1 </b>ser morto. <b>2 </b>ser derrotado, malograr. <b>to dust on’es</b> <b>jacket </b><i>fig</i> sacudir o pó de alguém, espancá-lo, dar-lhe uma surra.<b> to raise, make</b> ou <b>kick up a dust</b><i> fig</i> levantar poeira, fazer grande alarde, causar perturbação. <b>to shake the dust off one’s feet </b><i>Brit </i>ir embora com raiva. <b>to throw dust in one’s eyes</b> deitar poeira nos olhos de alguém, iludi-lo com falsas promessas ou aparências, enganar alguém. <b>to turn to dust and ashes</b><i> fig</i> reduzir a cinzas, desfazer em cinzas. <b>when the dust has settled </b>quando a poeira baixar.
dustcart	<i> n </i>caminhão de lixo.
dutch	Dutch: n. holandês
duty	<i> n </i>(<i>pl</i> <b>duties</b>)<b> 1</b> dever, obrigação.<b> 2</b> obediência, submissão, respeito.<b> 3</b> direito aduaneiro, imposto, taxa.<b> 4</b> rendimento efetivo de uma máquina.<b> 5</b> serviço, cargo, ofício, trabalho, atribuição, função, ocupação. <b>6 </b>responsabilidade. <b>export duty</b> taxa de exportação. <b>heavy duty</b> serviço pesado. <b>import duty, customs</b> <b>duty</b> taxa de importação. <b>in duty bound</b> obrigado, compelido pelo dever. <b>in duty to</b> por respeito a. <b>to be off</b> <b>duty </b>estar de folga. <b>to be on duty</b> estar de guarda, estar de serviço. <b>to do duty for</b> substituir, colocar alguém ou alguma coisa em lugar de, pôr ou ser posto em lugar de outra pessoa a título provisório.
duvet	<i> n </i>edredão, cobertura acolchoada contendo penugem fina.
dynamic	dynamic: adj. dinâmico
each	<i> adj</i> cada. •<i> pron</i> cada, cada qual, todos. • <i>adv </i>cada um, para cada um. <b>each and every</b> todos. <b>each one</b> cada um por sua vez. <b>each other</b> mutuamente. <b>for each other</b> um para o outro. <b>each way</b><i> Turf </i>placê.
eagerness	<i> n</i><b> 1</b> ânsia, avidez.<b> 2</b> vivacidade, zelo.<b> 3</b> impetuosidade, impaciência.
eagle	<i> n</i><b> 1</b> águia.<b> 2</b> insígnia, emblema militar.<b> 3</b> <i>Amer</i> antiga moeda de ouro no valor de 10 dólares.<b> 4</b> <i>Astr</i> Águia: constelação boreal.
ear	<i> n</i><b> 1</b> ouvido.<b> 2</b> orelha.<b> 3</b> audição.<b> 4</b> percepção.<b> 5</b> atenção, consideração.<b> 6</b> asa (de vaso).<b> 7</b> alça, colcheta. <b>an ear for music</b> um ouvido para música. <b>a thick ear </b>pé-de-ouvido. <b>ear that sticks out </b>orelha-de-abano. <b>he brought a storm about his</b> <b>ears </b>ele levantou uma tempestade. <b>it came to his father’s ears </b>chegou ao conhecimento de seu pai. <b>lend me an</b> <b>ear! </b>ouça-me, escute-me! <b>to be all ears</b> prestar toda a atenção, ser todo ouvidos. <b>to box one’s ears </b>esbofetear alguém. <b>to fall on deaf ears</b> não ser atendido. <b>to give ear </b>dar ouvidos. <b>to go in one ear and out the other</b> entrar por um ouvido e sair pelo outro. <b>to have itching ears </b>querer ouvir as novidades. <b>to have or keep</b> <b>an ear to the ground</b> estar atento à opinião pública ou aos acontecimentos. <b>to lend an</b> <b>ear </b>escutar, prestar atenção. <b>to make someone’s ears burn </b>falar de alguém na sua ausência, fazer queimar os ouvidos de alguém. <b>to play by</b> <b>ear </b>tocar de ouvido. <b>to play it by ear </b>agir de improviso, conforme as coisas acontecem. <b>to prick up one’s ears </b>aguçar os ouvidos, ficar de orelha em pé. <b>to turn a deaf ear to</b> não dar ouvido a. <b>up to the ears in..., over head and ears in...</b> profundamente envolvido, enterrado até ao pescoço. <b>wet behind the ears </b>inexpe­riente, imaturo.<i> n</i> espiga. • <i>vi</i> espigar.
earl	<i> n</i> conde.
early	<i>adj</i><b> 1</b> matinal, de manhã, matutino.<b> 2</b> precoce, prematuro, adiantado, antecipado.<b> 3</b> primitivo, antigo.<b> 4</b> que está no começo. <b>5 </b>pimeiro, inicial. <b>6 </b>próximo (no futuro). • <i>adv</i><b> 1</b> cedo.<b> 2</b> antecipadamente, prematuramente, antes da hora.<b> 3</b> no princípio, no início. <b>an early reply </b>uma resposta rápida. <b>as early as 1200 </b>já no ano 1200. <b>at</b> <b>an early date </b>logo mais. <b>at the earliest </b>não antes de. <b>at your earliest convenience </b>logo que possa. <b>early closing day </b>meio-feriado (lojas).<b> early in June</b> em princípios de junho. <b>early</b> <b>in the evening </b>no começo da noite. <b>early</b> <b>in the morning </b>de manhã cedo. <b>early warning system</b> <i>Mil</i> sistema de radar que informa antecipadamente sobre ataques inimigos. <b>in early life </b>na infância. <b>in early times </b>nos tempos antigos. <b>to be early </b>chegar cedo. <b>to keep early hours </b>levantar e deitar-se cedo.
earn	<i> vt</i> <b>1</b> ganhar.<b> 2</b> obter em troca de trabalho.<b> 3</b> merecer.<b> 4</b> tornar-se merecedor.
earnestly	<i>adv</i> seriamente, gravemente, severamente, sinceramente.
earnings	<i> n pl</i> salário, ordenado, féria, lucros.<b> gross earnings </b>receita bruta.
earpiece	<i> n</i><b> </b>receptor do telefone, a parte de um instrumento (como o estetoscópio) que é colocada na orelha, fone de ouvido, haste de óculos.
earth	<i> n</i> <b>1 </b>terra. <b>2</b> globo terrestre, Terra. <b>3</b><i> fig</i><b> </b>habitantes da Terra, humanidade. <b>4</b> mundo.<b> 5 </b>chão, terra firme.<b> 6</b> terreno, solo.<b> 7</b> toca, covil.<b> 8 </b>mundanidade.<b> 9</b><i> Chem </i>vários óxidos metálicos.<b> 10 </b><i>Electr</i> terra, ligação à terra. •<i> vt+vi</i> <b>1</b> enterrar.<b> 2</b> procurar refúgio numa toca.<b> 3</b> afugentar para a cova.<b> 4</b> ligar à terra. <b>come down back to earth!</b> deixe de sonhar! <b>on earth </b>na Terra.<b> to run to earth</b> perseguir até o fim. <b>why on earth do you want that?</b> mas, por que cargas-d’água você quer aquilo?
earthbound	<i> adj</i><b> 1</b> terrestre, mundano.<b> 2</b> preso à terra.<b> 3</b> sem imaginação, não sofisticado.
earthquake	<i> n</i> terremoto, abalo sísmico.
earthwards	<i>adj</i> = <b>earthward.</b>
earthy	<i> adj</i><b> 1</b> terreno, terrestre.<b> 2</b> mundano, material.<b> 3</b> vulgar, ordinário, grosseiro. <b>4 </b>prático, objetivo.
ease	<i>n</i><b> 1</b> bem-estar físico ou espiritual, tranqüilidade, sossego, ócio. <b>2</b> alívio, conforto, despreocupação, comodidade.<b> 3</b> naturalidade, facilidade, franqueza, desembaraço. • <i>vt+vi</i> <b>1</b> aliviar, livrar da dor ou preocupação, consolar, reconfortar, atenuar.<b> 2</b> diminuir, minorar.<b> 3</b> tranqüilizar, acalmar.<b> 4</b> mover(-se) vagarosa e cuidadosamente.<b> 5</b> soltar, relaxar, afrouxar.<b> 6</b> facilitar. <b>at ease </b>a) à vontade, em paz. <i>I feel at my ease here</i> / aqui eu me sinto à vontade, em casa. b) <i>Mil </i>descansar (posição).<b> ill at ease</b> embaraçado, constrangido, pouco à vontade. <b>take your ease</b> esteja à vontade. <b>to ease off, ease up </b>abrandar, suavizar, desprender, saltar. <b>to live at ease</b> viver sem preocupações. <b>to put (set) a person at his ease </b>tranqüilizar, reconfortar alguém, fazer sentir-se à vontade. <b>with ease</b> facilmente.
easily	<i> adv</i> facilmente, comodamente, sossegadamente.
eastern	<i> adj</i><b> 1</b> oriental, relativo ao Oriente.<b> 2</b> de ou para o lado este ou leste. <b>eastern daylight time</b> hora de verão oriental.
easy	<i> adj</i><b> 1</b> fácil, leve, cômodo, confortável, natural.<b> 2</b> indolor, tranqüilo.<b> 3</b> confortante, tranqüilizador.<b> 4</b> tranqüilo, sossegado, indolente.<b> 5</b> afável, tratável.<b> 6</b> acessível, cooperativo, oficioso, serviçal. <b>7</b> <i>style<b> </b></i>fluente, ligeiro, agradável. <b>8</b> solto, folgado, frouxo. <b>9</b> corriqueiro, vulgar. • <i>adv</i> facilmente, suavemente. • <i>interj</i> devagar! cuidado! <b>an easy task</b> tarefa fácil. <b>a</b> <b>woman of easy virtue </b>mulher promíscua. <b>easier said than done </b>mais fácil falar do que fazer. <b>easy all!</b> parado! <b>easy come, easy go</b> fácil vem, fácil vai. <b>easy does it </b>vá com calma, não se afobe.<b> easy on the ear</b>/<b>eye </b>agradável aos ouvidos/olhos. <b>easy over</b> frito dos dois lados. <b>easy style</b> estilo agradável, fluente. <b>easy to do</b> fácil de fazer. <b>free and easy</b> desembaraçado, sem cerimônias.<b> I’m easy </b>para mim tanto faz, por mim tudo bem. <b>on easy street </b><i>Amer</i> financeiramente independente. <b>on easy terms </b>financiado, facilitado (pagamento). <b>stand easy</b><i> Mil</i> à vontade. <b>take it easy</b> calma! não se afobe!. <b>to go easy on </b>ir com calma.
eat	<i>vt+vi</i> (<i>ps</i> <b>ate</b>, <i>pp</i> <b>eaten</b>) <b>1 </b>comer, ingerir.<b> 2</b> tomar uma refeição.<b> 3</b> corroer, destruir.<b> 4</b> gastar, consumir.<b> to be eaten up by (with) </b>sentir remorsos, ficar penalizado.<b> to be eaten up with </b>estar corroído de (algum sentimento). <b>to eat crow </b>reconhecer o erro, humilhar-se.<b> to eat humble pie </b>ser obrigado a admitir erro ou mentira. <b>to eat away </b>a)<b> </b>comer continuamente. b)<b> </b>destruir, corroer. <b>to eat away at </b>destruir pouco a pouco. <b>to eat in </b>a)<b> </b>comer em casa. b)<b> </b>corroer. <b>to eat into </b>corroer, consumir. <b>to eat one’s gut of house and home</b> explorar, arruinar alguém.<b> to eat one’s head off </b>não valer o que come. <b>to eat one’s heart out </b>consumir-se, sofrer em silêncio. <b>to eat one’s words </b>retirar o que disse, desmentir as próprias palavras, contradizer-se. <b>to eat out</b> comer fora de casa. <b>to eat out of one’s hand </b>comer na mão de alguém, subjugar-se a alguém. <b>to eat up </b>comer tudo. <b> what’s eating you? </b>o que o está preocupando? que é que o aflige?
ecclesiastical	<i>adj</i> = <b>ecclesiastic.</b>
echo	<i> n </i>(<i>pl</i> <b>echoes</b>) eco:<b> 1</b> repetição de som, repercussão.<b> 2</b><i> fig</i> imitador.<b> 3</b> <i>Mus</i> repetição de um som ou de uma frase. •<i> vt+vi</i> <b>1</b> ecoar: a) ressoar. b) repetir, repercutir.<b> 2</b><i> fig</i> arremedar.<b> to cheer to the echo</b> aplaudir calorosamente.
ecological	<i>adj</i> = <b>ecologic.</b>
economic	<i> adj</i><b> 1</b> econômico: relativo à ciência ou à atividade econômica. <b>2 </b>lucrativo, proveitoso.
economical	<i>adj</i><b> 1</b> econômico, parcimonioso, frugal. <b>2</b> moderado, previdente. <b>to be economical</b> ocultar algo deliberadamente do conhecimento público.
economically	<i>adv</i> economicamente, parcimoniosamente.<b> </b>
economics	<i> n</i> economia (ciência). <b>home economics </b>economia doméstica. <b>political economics</b> economia política. <b>social economics</b> economia social.
economist	<i> n</i><b> </b>economista. <b>political economist</b> economista político.
economy	<i> n</i><b> 1</b> economia, parcimônia, moderação.<b> 2</b> administração, organização. <b>3 </b>economia, sistema econômico. • <i>adj </i><b>1 </b>econômico, barato, compensador. <b>2 </b>que visa a poupar dinheiro. <b>planned economy </b>economia dirigida. <b>political economy</b> economia política.
ecstasy	<i> n</i><b> 1</b> êxtase, enlevo, arrebatamento.<b> 2</b> êxtase, transe místico. <b>3</b> droga de propriedades estimulantes e alucinógenas.
ecuadorian	Ecuadorian: adj. equatoriano
ecumenism	<i>n Rel</i> ecumenismo.
eddy	<i> n</i><b> 1</b> remoinho, turbilhão, redemoinho.<b> 2</b> contracorrente (de água, ar, fumaça, etc.). • <i>vt+vi</i> <b>1</b> redemoinhar.<b> 2</b> mover-se em círculos.
edit	<i> n </i>edição, revisão. • <i>vt</i> <b>1</b> editar, publicar, editorar, revisar.<b> 2</b><i> fig</i> modificar com cortes ou supressões. <b>3 </b>editar, montar (filme de cinema, programa de rádio, etc.). <b>4 </b><i>Comp<b> </b></i>alterar, corrigir, modificar texto ou programa.<b> 5</b> dirigir um periódico.
edition	<i> n</i> <b>1 </b>edição, publicação.<b> 2</b> tiragem, impressão.<b> 3</b> aspecto gráfico, apresentação de uma obra literária. <b>4</b><i> Comp </i>edição, alteração. <b>a</b> <b>five-volume edition</b> uma edição de cinco volumes. <b>the edition is out of print </b>a edição esgotou-se. <b>the first edition</b> primeira edição. <b>morning edition</b> edição matinal.
editor	<b> </b><i>n</i> <b>1</b> editor, organizador. <b>2 </b><i>Comp </i>editor: programa que permite a criação e modificação de outros programas ou arquivos.
editorial staff	<i> n</i><b> </b>corpo de redatores e colaboradores.
educate	<i> vt+vi</i> <b>1</b> educar, ensinar, instruir.<b> 2</b> adestrar, amestrar (animais).<b> 3</b> cultivar o espírito. <b>4 </b>disciplinar, acostumar.
